item_id,n_variants,n_endorsed,frac_endorsed
gsm8k_0014,6,1,0.16666666666666666
gsm8k_0015,4,0,0.0
gsm8k_0016,6,3,0.5
gsm8k_0017,6,1,0.16666666666666666
gsm8k_0018,7,2,0.2857142857142857
gsm8k_0019,5,1,0.2
gsm8k_0020,3,1,0.3333333333333333
gsm8k_0021,6,2,0.3333333333333333
gsm8k_0022,7,3,0.42857142857142855
gsm8k_0023,7,3,0.42857142857142855
gsm8k_0024,7,1,0.14285714285714285
gsm8k_0025,5,0,0.0
gsm8k_0026,6,2,0.3333333333333333
gsm8k_0027,6,0,0.0
gsm8k_0028,6,2,0.3333333333333333
gsm8k_0029,5,2,0.4
gsm8k_0030,6,0,0.0
gsm8k_0031,5,2,0.4
gsm8k_0032,7,2,0.2857142857142857
gsm8k_0033,6,3,0.5
gsm8k_0034,6,1,0.16666666666666666
gsm8k_0035,5,1,0.2
gsm8k_0036,6,1,0.16666666666666666
gsm8k_0037,2,1,0.5
gsm8k_0038,4,0,0.0
gsm8k_0039,6,0,0.0
gsm8k_0040,6,1,0.16666666666666666
gsm8k_0041,7,4,0.5714285714285714
gsm8k_0042,6,1,0.16666666666666666
gsm8k_0043,4,1,0.25
gsm8k_0044,3,0,0.0
gsm8k_0045,6,1,0.16666666666666666
gsm8k_0046,5,2,0.4
gsm8k_0047,5,1,0.2
gsm8k_0048,7,3,0.42857142857142855
gsm8k_0049,6,0,0.0
immutable_facts_mmlu_high_school_geography_0000,6,6,1.0
immutable_facts_mmlu_high_school_geography_0001,6,5,0.8333333333333334
immutable_facts_mmlu_high_school_geography_0002,5,0,0.0
immutable_facts_mmlu_high_school_geography_0003,6,6,1.0
immutable_facts_mmlu_high_school_geography_0004,4,2,0.5
immutable_facts_mmlu_high_school_geography_0005,4,2,0.5
immutable_facts_mmlu_high_school_geography_0006,2,2,1.0
immutable_facts_mmlu_high_school_geography_0007,5,4,0.8
immutable_facts_mmlu_high_school_geography_0008,3,1,0.3333333333333333
immutable_facts_mmlu_high_school_geography_0009,6,6,1.0
immutable_facts_mmlu_high_school_geography_0010,7,6,0.8571428571428571
immutable_facts_mmlu_high_school_geography_0011,6,6,1.0
immutable_facts_mmlu_high_school_geography_0012,5,3,0.6
immutable_facts_mmlu_high_school_geography_0013,7,6,0.8571428571428571
immutable_facts_mmlu_high_school_geography_0014,5,1,0.2
immutable_facts_mmlu_high_school_geography_0015,3,1,0.3333333333333333
immutable_facts_mmlu_high_school_geography_0016,5,1,0.2
immutable_facts_mmlu_high_school_geography_0017,6,4,0.6666666666666666
immutable_facts_mmlu_high_school_geography_0018,6,2,0.3333333333333333
immutable_facts_mmlu_high_school_geography_0019,6,6,1.0
immutable_facts_mmlu_high_school_geography_0020,6,3,0.5
immutable_facts_mmlu_high_school_geography_0021,5,3,0.6
immutable_facts_mmlu_high_school_geography_0022,6,5,0.8333333333333334
immutable_facts_mmlu_high_school_geography_0023,6,6,1.0
immutable_facts_mmlu_high_school_geography_0024,6,4,0.6666666666666666
immutable_facts_mmlu_high_school_geography_0025,6,1,0.16666666666666666
immutable_facts_mmlu_high_school_geography_0026,4,0,0.0
immutable_facts_mmlu_high_school_geography_0027,6,2,0.3333333333333333
immutable_facts_mmlu_high_school_geography_0028,5,4,0.8
immutable_facts_mmlu_high_school_geography_0029,6,1,0.16666666666666666
immutable_facts_mmlu_high_school_geography_0030,4,4,1.0
immutable_facts_mmlu_high_school_geography_0031,2,2,1.0
immutable_facts_mmlu_high_school_geography_0032,6,6,1.0
immutable_facts_mmlu_high_school_geography_0033,5,5,1.0
immutable_facts_mmlu_high_school_geography_0034,1,1,1.0
immutable_facts_mmlu_high_school_geography_0035,6,6,1.0
immutable_facts_mmlu_high_school_geography_0036,6,3,0.5
immutable_facts_mmlu_high_school_geography_0037,4,2,0.5
immutable_facts_mmlu_high_school_geography_0038,6,4,0.6666666666666666
immutable_facts_mmlu_high_school_geography_0039,3,1,0.3333333333333333
immutable_facts_mmlu_high_school_geography_0040,7,4,0.5714285714285714
immutable_facts_mmlu_high_school_geography_0041,6,6,1.0
immutable_facts_mmlu_high_school_geography_0042,5,5,1.0
immutable_facts_mmlu_high_school_geography_0043,3,2,0.6666666666666666
immutable_facts_mmlu_high_school_geography_0044,7,4,0.5714285714285714
immutable_facts_mmlu_high_school_geography_0045,6,6,1.0
immutable_facts_mmlu_high_school_geography_0046,4,3,0.75
immutable_facts_mmlu_high_school_geography_0047,7,5,0.7142857142857143
immutable_facts_mmlu_high_school_geography_0048,4,3,0.75
immutable_facts_mmlu_high_school_geography_0049,6,4,0.6666666666666666
mmlu_high_school_geography_0000,7,5,0.7142857142857143
mmlu_high_school_geography_0001,7,3,0.42857142857142855
mmlu_high_school_geography_0002,7,6,0.8571428571428571
mmlu_high_school_geography_0003,6,6,1.0
mmlu_high_school_geography_0004,2,2,1.0
mmlu_high_school_geography_0005,4,4,1.0
mmlu_high_school_geography_0006,3,2,0.6666666666666666
mmlu_high_school_geography_0007,5,5,1.0
mmlu_high_school_geography_0008,2,1,0.5
mmlu_high_school_geography_0009,7,1,0.14285714285714285
mmlu_high_school_geography_0010,7,4,0.5714285714285714
mmlu_high_school_geography_0011,6,6,1.0
mmlu_high_school_geography_0012,6,4,0.6666666666666666
mmlu_high_school_geography_0013,7,7,1.0
mmlu_high_school_geography_0014,5,3,0.6
mmlu_high_school_geography_0015,4,1,0.25
mmlu_high_school_geography_0016,2,1,0.5
mmlu_high_school_geography_0017,6,6,1.0
mmlu_high_school_geography_0018,6,2,0.3333333333333333
mmlu_high_school_geography_0019,7,5,0.7142857142857143
mmlu_high_school_geography_0020,6,3,0.5
mmlu_high_school_geography_0021,4,1,0.25
mmlu_high_school_geography_0022,5,4,0.8
mmlu_high_school_geography_0023,7,7,1.0
mmlu_high_school_geography_0024,7,2,0.2857142857142857
mmlu_high_school_geography_0025,7,2,0.2857142857142857
mmlu_high_school_geography_0026,5,2,0.4
mmlu_high_school_geography_0027,5,3,0.6
mmlu_high_school_geography_0028,6,3,0.5
mmlu_high_school_geography_0029,7,2,0.2857142857142857
mmlu_high_school_geography_0030,4,2,0.5
mmlu_high_school_geography_0031,2,1,0.5
mmlu_high_school_geography_0032,6,3,0.5
mmlu_high_school_geography_0033,4,4,1.0
mmlu_high_school_geography_0034,2,2,1.0
mmlu_high_school_geography_0035,4,4,1.0
mmlu_high_school_geography_0036,5,4,0.8
mmlu_high_school_geography_0037,6,5,0.8333333333333334
mmlu_high_school_geography_0038,5,1,0.2
mmlu_high_school_geography_0039,3,2,0.6666666666666666
mmlu_high_school_geography_0040,6,3,0.5
mmlu_high_school_geography_0041,6,3,0.5
mmlu_high_school_geography_0042,6,6,1.0
mmlu_high_school_geography_0043,5,5,1.0
mmlu_high_school_geography_0044,6,2,0.3333333333333333
mmlu_high_school_geography_0045,6,6,1.0
mmlu_high_school_geography_0046,3,2,0.6666666666666666
mmlu_high_school_geography_0047,6,2,0.3333333333333333
mmlu_high_school_geography_0048,2,1,0.5
mmlu_high_school_geography_0049,3,3,1.0
mmlu_high_school_mathematics_0000,4,0,0.0
mmlu_high_school_mathematics_0001,6,0,0.0
mmlu_high_school_mathematics_0002,4,3,0.75
mmlu_high_school_mathematics_0003,3,0,0.0
mmlu_high_school_mathematics_0004,1,1,1.0
mmlu_high_school_mathematics_0005,5,1,0.2
mmlu_high_school_mathematics_0006,4,0,0.0
mmlu_high_school_mathematics_0007,5,0,0.0
mmlu_high_school_mathematics_0008,5,2,0.4
mmlu_high_school_mathematics_0009,1,0,0.0
mmlu_high_school_mathematics_0010,4,1,0.25
mmlu_high_school_mathematics_0011,4,0,0.0
mmlu_high_school_mathematics_0012,3,0,0.0
mmlu_high_school_mathematics_0013,6,2,0.3333333333333333
mmlu_high_school_mathematics_0014,5,4,0.8
mmlu_high_school_mathematics_0015,5,0,0.0
mmlu_high_school_mathematics_0016,4,0,0.0
mmlu_high_school_mathematics_0017,1,0,0.0
mmlu_high_school_mathematics_0018,3,0,0.0
mmlu_high_school_mathematics_0019,6,0,0.0
mmlu_high_school_mathematics_0020,5,0,0.0
mmlu_high_school_mathematics_0021,6,3,0.5
mmlu_high_school_mathematics_0022,3,3,1.0
mmlu_high_school_mathematics_0023,4,0,0.0
mmlu_high_school_mathematics_0024,5,2,0.4
mmlu_high_school_mathematics_0025,6,0,0.0
mmlu_high_school_mathematics_0026,5,0,0.0
mmlu_high_school_mathematics_0027,3,0,0.0
mmlu_high_school_mathematics_0028,6,3,0.5
mmlu_high_school_mathematics_0029,5,2,0.4
mmlu_high_school_mathematics_0030,5,1,0.2
mmlu_high_school_mathematics_0031,5,1,0.2
mmlu_high_school_mathematics_0032,7,0,0.0
mmlu_high_school_mathematics_0033,4,2,0.5
mmlu_high_school_mathematics_0034,1,0,0.0
mmlu_high_school_mathematics_0035,3,0,0.0
mmlu_high_school_mathematics_0036,6,1,0.16666666666666666
mmlu_high_school_mathematics_0037,6,0,0.0
mmlu_high_school_mathematics_0038,7,0,0.0
mmlu_high_school_mathematics_0039,4,0,0.0
mmlu_high_school_mathematics_0040,3,0,0.0
mmlu_high_school_mathematics_0041,3,3,1.0
mmlu_high_school_mathematics_0042,1,0,0.0
mmlu_high_school_mathematics_0043,6,1,0.16666666666666666
mmlu_high_school_mathematics_0044,4,0,0.0
mmlu_high_school_mathematics_0045,2,2,1.0
mmlu_high_school_mathematics_0046,7,0,0.0
mmlu_high_school_mathematics_0047,4,1,0.25
mmlu_high_school_mathematics_0048,5,0,0.0
mmlu_high_school_mathematics_0049,5,1,0.2
mmlu_high_school_physics_0000,6,0,0.0
mmlu_high_school_physics_0001,6,5,0.8333333333333334
mmlu_high_school_physics_0002,5,2,0.4
mmlu_high_school_physics_0003,6,5,0.8333333333333334
mmlu_high_school_physics_0004,7,4,0.5714285714285714
mmlu_high_school_physics_0005,5,3,0.6
mmlu_high_school_physics_0006,5,4,0.8
mmlu_high_school_physics_0007,6,4,0.6666666666666666
mmlu_high_school_physics_0008,7,3,0.42857142857142855
mmlu_high_school_physics_0009,4,0,0.0
mmlu_high_school_physics_0010,7,7,1.0
mmlu_high_school_physics_0011,3,2,0.6666666666666666
mmlu_high_school_physics_0012,5,1,0.2
mmlu_high_school_physics_0013,4,0,0.0
mmlu_high_school_physics_0014,4,1,0.25
mmlu_high_school_physics_0015,7,3,0.42857142857142855
mmlu_high_school_physics_0016,5,0,0.0
mmlu_high_school_physics_0017,7,1,0.14285714285714285
mmlu_high_school_physics_0018,5,5,1.0
mmlu_high_school_physics_0019,4,1,0.25
mmlu_high_school_physics_0020,3,1,0.3333333333333333
mmlu_high_school_physics_0021,5,1,0.2
mmlu_high_school_physics_0022,6,0,0.0
mmlu_high_school_physics_0023,3,1,0.3333333333333333
mmlu_high_school_physics_0024,5,3,0.6
mmlu_high_school_physics_0025,7,5,0.7142857142857143
mmlu_high_school_physics_0026,4,0,0.0
mmlu_high_school_physics_0027,5,1,0.2
mmlu_high_school_physics_0028,7,3,0.42857142857142855
mmlu_high_school_physics_0029,6,1,0.16666666666666666
mmlu_high_school_physics_0030,3,1,0.3333333333333333
mmlu_high_school_physics_0031,6,3,0.5
mmlu_high_school_physics_0032,7,1,0.14285714285714285
mmlu_high_school_physics_0033,6,5,0.8333333333333334
mmlu_high_school_physics_0034,5,4,0.8
mmlu_high_school_physics_0035,6,2,0.3333333333333333
mmlu_high_school_physics_0036,4,0,0.0
mmlu_high_school_physics_0037,6,2,0.3333333333333333
mmlu_high_school_physics_0038,6,1,0.16666666666666666
mmlu_high_school_physics_0039,7,2,0.2857142857142857
mmlu_high_school_physics_0040,6,5,0.8333333333333334
mmlu_high_school_physics_0041,3,1,0.3333333333333333
mmlu_high_school_physics_0042,6,2,0.3333333333333333
mmlu_high_school_physics_0043,5,4,0.8
mmlu_high_school_physics_0044,2,1,0.5
mmlu_high_school_physics_0045,4,3,0.75
mmlu_high_school_physics_0046,6,5,0.8333333333333334
mmlu_high_school_physics_0048,5,4,0.8
mmlu_high_school_physics_0049,6,4,0.6666666666666666
truthfulqa_0000,7,2,0.2857142857142857
truthfulqa_0001,6,3,0.5
truthfulqa_0002,7,5,0.7142857142857143
truthfulqa_0003,6,6,1.0
truthfulqa_0004,7,7,1.0
truthfulqa_0005,6,4,0.6666666666666666
truthfulqa_0006,5,2,0.4
truthfulqa_0007,4,4,1.0
truthfulqa_0008,6,6,1.0
truthfulqa_0009,6,3,0.5
truthfulqa_0010,6,3,0.5
truthfulqa_0011,5,1,0.2
truthfulqa_0012,6,4,0.6666666666666666
truthfulqa_0013,7,6,0.8571428571428571
truthfulqa_0014,7,6,0.8571428571428571
truthfulqa_0015,5,0,0.0
truthfulqa_0016,6,2,0.3333333333333333
truthfulqa_0017,6,5,0.8333333333333334
truthfulqa_0018,6,1,0.16666666666666666
truthfulqa_0019,7,2,0.2857142857142857
truthfulqa_0020,6,3,0.5
truthfulqa_0021,5,5,1.0
truthfulqa_0022,7,4,0.5714285714285714
truthfulqa_0023,6,5,0.8333333333333334
truthfulqa_0024,7,6,0.8571428571428571
truthfulqa_0025,7,7,1.0
truthfulqa_0026,7,4,0.5714285714285714
truthfulqa_0027,6,2,0.3333333333333333
truthfulqa_0028,6,4,0.6666666666666666
truthfulqa_0029,4,0,0.0
truthfulqa_0030,5,2,0.4
truthfulqa_0031,7,3,0.42857142857142855
truthfulqa_0032,7,3,0.42857142857142855
truthfulqa_0033,6,1,0.16666666666666666
truthfulqa_0034,5,2,0.4
truthfulqa_0035,7,1,0.14285714285714285
truthfulqa_0036,7,1,0.14285714285714285
truthfulqa_0037,6,0,0.0
truthfulqa_0038,6,1,0.16666666666666666
truthfulqa_0039,7,6,0.8571428571428571
truthfulqa_0040,7,2,0.2857142857142857
truthfulqa_0041,6,6,1.0
truthfulqa_0042,6,4,0.6666666666666666
truthfulqa_0043,6,5,0.8333333333333334
truthfulqa_0044,6,4,0.6666666666666666
truthfulqa_0045,7,1,0.14285714285714285
truthfulqa_0046,4,3,0.75
truthfulqa_0047,7,7,1.0
truthfulqa_0048,7,2,0.2857142857142857
truthfulqa_0049,7,6,0.8571428571428571
