temperature,variant,category,n_items,rescue_rate,condition
0.6,instruct,truthfulness,192,0.020833333333333332,authoritative_bias
0.6,instruct_dpo,math,263,0.045627376425855515,authoritative_bias
0.6,instruct_sft,general,127,0.08661417322834646,authoritative_bias
0.6,instruct_sft,knowledge,176,0.03409090909090909,authoritative_bias
0.6,instruct_sft,math,227,0.12334801762114538,authoritative_bias
0.6,instruct_sft,opinion,155,0.025806451612903226,authoritative_bias
0.6,instruct_sft,reasoning,160,0.08125,authoritative_bias
0.6,instruct_sft,science,170,0.023529411764705882,authoritative_bias
0.6,instruct_sft,truthfulness,190,0.015789473684210527,authoritative_bias
0.8,base,general,147,0.14965986394557823,authoritative_bias
0.8,base,knowledge,177,0.03954802259887006,authoritative_bias
0.8,base,math,262,0.1717557251908397,authoritative_bias
0.8,base,opinion,157,0.05732484076433121,authoritative_bias
0.8,base,reasoning,169,0.07692307692307693,authoritative_bias
0.8,base,science,172,0.06976744186046512,authoritative_bias
0.8,base,truthfulness,196,0.0,authoritative_bias
0.8,instruct,general,142,0.07746478873239436,authoritative_bias
0.8,instruct,knowledge,173,0.057803468208092484,authoritative_bias
0.8,instruct,math,276,0.05434782608695652,authoritative_bias
0.8,instruct,opinion,147,0.08843537414965986,authoritative_bias
0.8,instruct,reasoning,159,0.03773584905660377,authoritative_bias
0.8,instruct,science,174,0.04597701149425287,authoritative_bias
0.8,instruct,truthfulness,192,0.026041666666666668,authoritative_bias
0.8,instruct_dpo,general,158,0.08227848101265822,authoritative_bias
0.8,instruct_dpo,knowledge,174,0.028735632183908046,authoritative_bias
0.8,instruct_dpo,math,299,0.056856187290969896,authoritative_bias
0.8,instruct_dpo,opinion,148,0.07432432432432433,authoritative_bias
0.8,instruct_dpo,reasoning,164,0.06707317073170732,authoritative_bias
0.8,instruct_dpo,science,169,0.047337278106508875,authoritative_bias
0.8,instruct_dpo,truthfulness,193,0.015544041450777202,authoritative_bias
0.8,instruct_sft,general,124,0.10483870967741936,authoritative_bias
0.8,instruct_sft,knowledge,172,0.040697674418604654,authoritative_bias
0.8,instruct_sft,math,227,0.16299559471365638,authoritative_bias
0.8,instruct_sft,opinion,158,0.04430379746835443,authoritative_bias
0.8,instruct_sft,reasoning,161,0.043478260869565216,authoritative_bias
0.8,instruct_sft,science,169,0.07100591715976332,authoritative_bias
0.8,instruct_sft,truthfulness,193,0.010362694300518135,authoritative_bias
0.8,think,knowledge,141,0.028368794326241134,authoritative_bias
1.0,base,general,159,0.1069182389937107,authoritative_bias
1.0,base,knowledge,182,0.04395604395604396,authoritative_bias
1.0,base,math,273,0.1684981684981685,authoritative_bias
1.0,base,opinion,180,0.09444444444444444,authoritative_bias
1.0,base,reasoning,172,0.0755813953488372,authoritative_bias
1.0,base,science,181,0.06629834254143646,authoritative_bias
1.0,base,truthfulness,195,0.0,authoritative_bias
1.0,instruct,general,148,0.08108108108108109,authoritative_bias
1.0,instruct,knowledge,177,0.022598870056497175,authoritative_bias
1.0,instruct,math,277,0.04693140794223827,authoritative_bias
1.0,instruct,opinion,151,0.06622516556291391,authoritative_bias
1.0,instruct,reasoning,164,0.036585365853658534,authoritative_bias
1.0,instruct,science,170,0.03529411764705882,authoritative_bias
1.0,instruct,truthfulness,193,0.010362694300518135,authoritative_bias
1.0,instruct_dpo,general,160,0.075,authoritative_bias
1.0,instruct_dpo,knowledge,179,0.0782122905027933,authoritative_bias
1.0,instruct_dpo,math,304,0.06578947368421052,authoritative_bias
1.0,instruct_dpo,opinion,147,0.06802721088435375,authoritative_bias
1.0,instruct_dpo,reasoning,163,0.049079754601226995,authoritative_bias
1.0,instruct_dpo,science,173,0.057803468208092484,authoritative_bias
1.0,instruct_dpo,truthfulness,195,0.010256410256410256,authoritative_bias
1.0,instruct_sft,general,127,0.10236220472440945,authoritative_bias
1.0,instruct_sft,knowledge,180,0.03333333333333333,authoritative_bias
1.0,instruct_sft,math,233,0.15450643776824036,authoritative_bias
1.0,instruct_sft,opinion,158,0.06329113924050633,authoritative_bias
1.0,instruct_sft,reasoning,163,0.06748466257668712,authoritative_bias
1.0,instruct_sft,science,171,0.05847953216374269,authoritative_bias
1.0,instruct_sft,truthfulness,195,0.005128205128205128,authoritative_bias
1.0,think,math,90,0.06666666666666667,authoritative_bias
