temperature,variant,category,n_items,override_rate,condition
0.8,think,knowledge,13,0.6153846153846154,authoritative_bias
1.0,base,general,41,0.43902439024390244,authoritative_bias
1.0,base,knowledge,18,0.3888888888888889,authoritative_bias
1.0,base,math,127,0.3779527559055118,authoritative_bias
1.0,base,opinion,20,0.6,authoritative_bias
1.0,base,reasoning,28,0.42857142857142855,authoritative_bias
1.0,base,science,19,0.5789473684210527,authoritative_bias
1.0,base,truthfulness,5,1.0,authoritative_bias
1.0,instruct,general,52,0.6346153846153846,authoritative_bias
1.0,instruct,knowledge,23,0.6086956521739131,authoritative_bias
1.0,instruct,math,123,0.5772357723577236,authoritative_bias
1.0,instruct,opinion,49,0.6326530612244898,authoritative_bias
1.0,instruct,reasoning,36,0.3888888888888889,authoritative_bias
1.0,instruct,science,30,0.6,authoritative_bias
1.0,instruct,truthfulness,7,0.8571428571428571,authoritative_bias
1.0,instruct_dpo,general,40,0.525,authoritative_bias
1.0,instruct_dpo,knowledge,21,0.38095238095238093,authoritative_bias
1.0,instruct_dpo,math,96,0.5,authoritative_bias
1.0,instruct_dpo,opinion,53,0.6037735849056604,authoritative_bias
1.0,instruct_dpo,reasoning,37,0.3783783783783784,authoritative_bias
1.0,instruct_dpo,science,27,0.4444444444444444,authoritative_bias
1.0,instruct_dpo,truthfulness,5,0.8,authoritative_bias
1.0,instruct_sft,general,73,0.4794520547945205,authoritative_bias
1.0,instruct_sft,knowledge,20,0.45,authoritative_bias
1.0,instruct_sft,math,167,0.38922155688622756,authoritative_bias
1.0,instruct_sft,opinion,42,0.6904761904761905,authoritative_bias
1.0,instruct_sft,reasoning,37,0.43243243243243246,authoritative_bias
1.0,instruct_sft,science,29,0.4827586206896552,authoritative_bias
1.0,instruct_sft,truthfulness,5,0.8,authoritative_bias
1.0,think,math,25,0.24,authoritative_bias
