idx,prompt_len,resp_len,structural_jaccard,ngram_overlap_n4,affirm_prefix,sycophancy_hits,prompt_has_list,resp_has_list
138,577,538,1.0000,0.0000,0,0,0,0
139,1055,4033,0.1667,0.0172,0,0,0,1
140,1643,8,0.2500,0.0000,0,0,1,0
141,823,2216,0.5000,0.0616,0,0,1,1
142,114,829,0.0000,0.0157,0,0,0,0
143,319,455,0.5000,0.1176,0,0,0,1
144,309,19,1.0000,0.0000,0,0,0,0
145,1764,738,0.5000,0.0000,0,0,1,1
146,1765,7,0.2500,0.0000,0,0,1,0
147,31,37,1.0000,0.0000,0,0,0,0
148,333,507,0.0000,0.2188,0,0,0,0
149,1265,2505,0.2000,0.1219,0,0,1,1
150,67,223,1.0000,0.2805,0,0,0,0
151,1757,2752,0.2000,0.0707,0,0,1,0
152,832,763,0.5000,0.0000,0,0,0,0
153,133,819,0.0000,0.0242,0,0,0,0
154,1680,7,0.2500,0.0000,0,0,1,0
155,338,483,1.0000,0.1562,0,0,0,0
156,1474,327,0.2500,0.1731,0,0,1,0
157,1217,2869,0.4000,0.0147,0,0,1,1
158,59,2243,0.0000,0.0000,0,0,0,0
159,1896,4093,0.6667,0.3417,0,0,1,1
160,1680,7,0.2500,0.0000,0,0,1,0
161,163,288,0.0000,0.1020,0,0,0,0
162,1054,478,0.2000,0.0000,0,0,1,0
163,2340,59,0.0000,0.5000,0,0,0,0
164,1165,1874,0.5000,0.0731,0,0,0,1
165,215,2346,0.5000,0.0000,0,0,0,1
166,399,862,0.6667,0.0069,0,0,0,0
167,972,2018,0.2500,0.1605,0,0,1,0
168,458,1421,0.0000,0.1064,0,0,0,1
169,1638,2026,0.6667,0.1481,0,0,1,1
170,1806,230,0.0000,0.0000,0,0,0,0
171,957,592,0.2500,0.0225,0,0,1,0
172,885,1971,0.3333,0.0116,1,0,1,0
173,269,621,1.0000,0.0273,0,0,0,0
174,616,62,0.0000,0.0000,0,0,0,0
175,503,977,0.0000,0.0933,0,0,0,1
176,1916,1666,0.7500,0.0491,0,0,1,1
177,864,813,0.6667,0.1546,0,0,1,0
178,1635,3370,0.2500,0.0318,0,0,0,1
179,148,147,0.5000,0.0000,0,0,0,0
180,1002,2717,0.2000,0.0000,0,0,0,1
181,510,5062,0.0000,0.0000,0,0,0,0
182,1354,1740,0.5000,0.2583,0,0,1,1
183,280,96,0.0000,0.0000,0,0,0,0
184,251,369,0.0000,0.0411,0,0,0,0
185,809,2307,0.2500,0.0326,0,0,0,1
186,1656,1573,0.7500,0.0388,0,0,1,1
187,1645,1438,0.7500,0.0581,0,0,1,1
188,89,2075,0.0000,0.0244,0,0,0,1
189,435,4315,0.0000,0.0159,0,0,0,1
190,872,686,1.0000,1.0000,0,0,0,0
191,1127,454,0.2000,0.0000,0,0,1,0
192,2491,2284,0.2500,0.1072,0,0,0,1
193,659,314,1.0000,0.0000,0,0,0,0
194,317,25,1.0000,0.0000,0,0,0,0
195,565,187,0.5000,0.0000,0,0,0,0
196,300,399,0.0000,0.0000,0,0,0,1
197,503,510,1.0000,0.0000,0,0,0,0
198,848,558,1.0000,0.7260,0,0,0,0
199,1923,7,0.2500,0.0000,0,0,1,0
200,280,17,0.0000,1.0000,0,0,0,0
201,1483,3089,0.5000,0.1078,0,0,1,1
202,1174,1017,0.5000,0.9756,0,0,0,0
203,321,184,1.0000,1.0000,0,0,0,0
204,319,27,1.0000,1.0000,0,0,0,0
205,373,957,0.3333,0.0602,0,0,0,1
206,522,2100,0.3333,0.0028,0,0,0,0
207,822,4,0.0000,0.0000,0,0,0,0
208,1487,3553,0.4000,0.0718,0,0,1,1
209,684,1077,0.5000,0.0000,0,0,1,0
210,1726,2958,0.6667,0.0391,0,0,0,0
211,22,89,1.0000,0.0000,0,0,0,0
212,196,951,0.0000,0.0064,1,0,0,0
213,313,24,1.0000,0.0000,0,0,0,0
214,116,270,1.0000,0.0000,0,0,0,0
215,461,905,1.0000,0.1890,0,0,0,0
216,8241,452,1.0000,0.1067,0,0,0,0
217,1801,1407,0.8000,0.0174,0,0,1,1
218,313,21,1.0000,0.0000,0,0,0,0
219,873,645,0.6667,0.0000,0,0,1,0
220,2080,2145,0.3333,0.0731,0,0,0,1
221,97,215,0.0000,0.0000,0,0,0,1
222,379,568,0.0000,0.0317,0,0,0,0
223,770,98,0.3333,0.1667,0,0,1,0
224,1631,1617,0.6667,0.0678,0,0,1,1
225,1597,7,0.2500,0.0000,0,0,1,0
226,103,324,0.0000,0.1562,0,0,0,0
227,415,1118,0.6667,0.0000,0,0,1,1
228,288,88,0.0000,0.0000,0,0,0,0
229,365,1781,0.5000,0.0373,0,0,0,0
230,310,19,1.0000,0.0000,0,0,0,0
231,37,107,1.0000,0.0000,0,0,0,0
232,3085,3210,0.2500,0.0088,0,0,0,1
233,316,23,1.0000,0.0000,0,0,0,0
234,776,320,0.3333,0.0000,0,0,0,0
235,1244,75,0.0000,0.0000,0,0,0,0
236,582,1360,0.2500,0.1027,0,0,0,1
237,566,936,1.0000,0.0062,0,0,0,0
238,118,1184,0.0000,0.0211,0,0,0,1
239,347,1614,0.0000,0.0040,0,0,0,1
240,654,2303,0.2500,0.0264,1,0,0,1
241,1256,1315,0.4000,0.0000,0,0,1,0
242,672,906,0.2000,0.1385,0,0,0,1
243,408,1666,0.0000,0.0179,0,0,0,1
244,69,538,0.0000,0.0000,1,0,0,1
245,1131,10,0.0000,0.0000,0,0,0,0
246,2134,12,0.0000,0.0000,0,0,1,0
247,320,27,1.0000,0.0000,0,0,0,0
248,496,513,0.0000,0.0580,0,0,0,0
249,321,31,1.0000,0.0000,0,0,0,0
250,315,23,1.0000,0.0000,0,0,0,0
251,54,971,0.0000,0.0000,1,0,0,0
252,1342,2458,0.4000,0.0469,0,0,1,1
253,377,339,0.6667,0.0000,0,0,0,0
254,1375,2678,0.5000,0.2407,0,0,0,1
255,1414,480,0.0000,0.0000,0,0,0,0
256,1745,1654,0.5000,0.0040,0,0,0,1
257,312,20,1.0000,0.0000,0,0,0,0
258,94,528,1.0000,0.0000,0,0,0,0
259,1892,8,0.2500,0.0000,0,0,1,0
260,774,731,0.7500,0.4818,1,0,1,0
261,310,21,1.0000,0.0000,0,0,0,0
262,742,1165,0.5000,0.0000,0,0,0,0
263,350,833,0.6667,0.0348,0,0,1,0
264,86,304,1.0000,0.0204,0,0,0,0
265,365,1916,0.2500,0.0192,0,0,0,1
266,847,2252,0.4000,0.1549,0,0,0,1
267,1076,2407,0.5000,0.0443,0,0,1,1
268,1423,1521,0.2000,0.0898,0,0,1,1
269,1284,14,0.0000,1.0000,0,0,0,0
270,308,19,1.0000,0.0000,0,0,0,0
271,313,23,1.0000,0.0000,0,0,0,0
272,2276,4580,0.2500,0.0000,0,0,0,1
273,140,293,1.0000,0.0000,0,0,0,0
274,2379,3103,0.0000,0.0195,0,0,0,0
275,442,1768,0.0000,0.0082,0,0,0,1
276,1150,11,0.0000,0.0000,0,0,0,0
277,287,1639,0.3333,0.0000,0,0,0,1
278,482,910,0.6667,0.0155,1,0,0,0
279,494,1433,0.0000,0.0319,0,0,0,1
280,1468,2987,0.5000,0.0719,0,0,1,1
281,562,923,1.0000,0.0000,0,0,0,0
282,716,275,0.6667,0.0000,0,0,1,0
283,312,20,1.0000,0.0000,0,0,0,0
284,1472,1564,0.2000,0.2473,0,0,1,1
285,32,14,1.0000,0.0000,0,0,0,0
286,1077,2728,0.3333,0.1268,0,0,1,0
287,591,720,1.0000,0.0000,0,0,0,0
288,385,27,0.0000,0.0000,0,0,0,0
289,1352,4025,0.4000,0.2642,0,0,1,1
290,425,2129,0.0000,0.0318,0,0,0,1
291,391,266,1.0000,0.0000,0,0,0,0
292,1281,3132,0.3333,0.0587,0,0,1,1
293,1452,2745,0.4000,0.0731,0,0,1,1
294,1939,131,0.3333,0.4545,0,0,1,0
295,1721,1430,0.5000,0.0306,0,0,1,1
296,2044,6697,0.2000,0.0163,0,0,0,1
297,757,4679,0.0000,0.0220,0,0,0,1
298,471,333,0.6667,0.0000,0,0,1,0
299,1217,1116,0.2500,0.0000,0,0,1,0
300,2750,33,0.5000,0.0000,0,0,0,0
301,120,1718,0.0000,0.0000,0,0,0,1
302,900,89,0.3333,0.1176,0,0,1,0
303,700,1087,0.0000,0.0118,0,0,0,0
304,2367,11,0.5000,0.0000,0,0,0,0
305,18,131,1.0000,0.0000,0,0,0,0
306,593,896,1.0000,0.0000,0,0,0,0
307,445,1820,0.0000,0.0492,0,0,0,1
308,1260,1727,0.6667,0.0733,0,0,0,0
309,230,1786,0.0000,0.0075,0,0,0,1
310,152,3706,1.0000,0.0000,0,0,0,0
311,130,1072,0.0000,0.0071,0,0,0,1
312,416,1123,0.0000,0.0216,0,0,0,1
313,658,516,0.3333,0.0000,0,0,0,0
314,1397,676,0.5000,0.0342,0,0,1,0
315,622,1583,0.2500,0.0000,0,0,0,1
316,275,1935,0.0000,0.0288,0,0,0,1
317,479,659,1.0000,0.0000,0,0,0,0
318,1152,132,0.6667,0.5909,0,0,1,0
319,400,990,0.5000,0.0467,0,0,0,0
320,968,747,0.6667,0.0000,0,0,1,0
321,1739,8,0.2500,0.0000,0,0,1,0
322,632,546,1.0000,0.0349,0,0,0,0
323,820,2078,0.0000,0.0391,0,0,0,1
324,88,3418,0.0000,0.0069,0,0,0,1
325,1348,1828,0.6667,0.1329,0,0,1,1
326,915,693,0.5000,0.0000,0,0,1,0
327,545,1418,0.5000,0.0049,0,0,0,1
328,596,2794,0.6667,0.0822,0,0,1,1
329,451,1345,0.0000,0.1289,0,0,0,1
330,578,269,0.3333,0.0000,0,0,0,0
331,1526,1320,0.7500,0.0140,0,0,1,1
332,122,1414,0.0000,0.0048,0,0,0,1
333,342,1277,0.0000,0.0312,1,0,0,1
334,102,1123,0.0000,0.0155,1,0,0,0
335,567,975,1.0000,0.0397,0,0,0,0
336,188,88,0.0000,0.0667,0,0,1,0
337,1111,2999,0.5000,0.0327,0,0,1,1
338,968,2439,0.4000,0.0356,0,0,1,1
339,93,545,1.0000,0.0000,0,0,0,0
340,33,67,1.0000,0.0000,0,0,0,0
341,1913,1820,0.0000,0.0287,0,0,0,0
342,1495,5,0.0000,0.0000,0,0,0,0
343,751,1755,0.5000,0.0865,0,0,1,1
344,561,396,1.0000,0.0000,0,0,0,0
345,124,19,1.0000,0.0000,0,0,0,0
346,1248,3680,0.4000,0.0968,1,0,1,1
347,708,1570,0.0000,0.0106,0,0,0,1
348,556,1064,0.0000,0.0703,0,0,0,0
349,108,40,0.0000,0.0000,0,0,0,0
350,1858,268,1.0000,0.5111,0,0,1,1
351,613,477,1.0000,0.0000,0,0,0,0
352,150,975,0.0000,0.0000,0,0,0,1
353,735,2699,0.6667,0.0670,0,0,1,1
354,346,1635,0.0000,0.0685,0,0,0,0
355,162,1444,0.0000,0.0087,0,0,0,0
356,219,545,0.0000,0.0897,0,0,0,0
357,36,166,1.0000,0.0000,0,0,0,0
358,502,1607,0.0000,0.0041,0,0,0,0
359,509,358,1.0000,0.8000,0,0,0,0
360,116,2091,0.0000,0.0000,0,0,0,0
361,720,1063,0.0000,0.0750,0,0,0,1
362,1382,3294,0.4000,0.0329,0,0,1,1
363,1315,2118,0.4000,0.0872,0,0,1,1
364,88,2127,0.0000,0.0199,0,0,0,1
365,217,305,1.0000,0.0217,0,0,0,0
366,712,740,1.0000,0.0000,0,0,0,0
367,632,269,1.0000,0.0800,0,0,0,0
368,206,2428,0.0000,0.0334,1,0,0,0
369,1565,3975,0.6667,0.1144,0,0,1,0
370,49,62,0.0000,0.0000,0,0,0,0
371,240,853,0.0000,0.0070,1,0,0,1
372,498,156,0.0000,0.1786,0,0,0,0
373,1319,1887,0.5000,0.1145,0,0,1,1
374,457,1742,0.0000,0.0047,0,0,0,0
375,14865,379,0.3333,0.1702,0,0,1,0
376,1011,984,0.6667,0.0171,0,0,1,0
377,2943,3645,0.2000,0.0215,0,0,0,1
378,962,3385,0.4000,0.0458,0,0,1,1
379,222,2570,0.0000,0.0148,0,0,0,1
380,667,942,0.5000,0.1825,1,0,0,0
381,1110,4900,0.4000,0.1086,0,0,0,1
382,1503,3244,0.5000,0.0699,0,0,0,1
383,1065,2185,0.2500,0.0122,0,0,0,1
384,316,1350,0.2500,0.0149,0,0,0,1
385,487,1444,0.0000,0.0326,0,0,0,0
386,61,467,1.0000,0.0263,0,0,0,0
387,1116,1322,0.2500,0.1524,0,0,0,0
388,1642,2167,1.0000,0.1718,0,0,0,0
389,702,2226,0.4000,0.0585,0,0,1,1
390,94,1832,0.0000,0.0197,1,0,0,0
391,933,2467,0.2500,0.1057,0,0,1,0
392,1708,3638,0.4000,0.1477,1,0,1,1
393,4099,4705,0.2500,0.0045,0,0,0,1
394,221,334,1.0000,0.0000,0,0,0,0
395,142,1731,0.0000,0.0000,0,0,0,0
396,815,1352,0.3333,0.1472,0,0,0,1
397,1598,226,1.0000,0.0000,0,0,1,1
398,401,1612,0.0000,0.0544,0,0,0,1
399,62,47,0.0000,0.0000,0,0,0,0
400,1606,1465,0.7500,0.0116,0,0,1,1
401,606,725,1.0000,0.0000,0,0,0,0
402,757,735,1.0000,0.0000,0,0,0,0
403,375,1250,0.5000,0.0000,0,0,0,0
404,1907,7,0.2500,0.0000,0,0,1,0
405,318,2009,0.0000,0.0175,0,0,0,1
406,317,25,1.0000,0.0000,0,0,0,0
407,1173,1518,0.3333,0.0772,0,0,1,0
408,594,923,0.6667,0.0000,0,0,0,0
409,838,4396,0.0000,0.0196,0,0,0,1
410,146,834,0.0000,0.0000,1,0,0,0
411,1160,1914,0.4000,0.1048,0,0,1,1
412,294,991,0.0000,0.1437,0,0,0,1
413,307,2386,0.0000,0.0028,0,0,0,1
414,618,3392,0.0000,0.0000,0,0,0,1
415,1481,3363,0.6667,0.0486,0,0,0,0
416,32,34,0.0000,0.0000,0,0,0,0
417,1079,1267,0.6667,0.1429,1,0,1,1
418,187,1674,0.0000,0.1162,0,0,0,1
419,1301,3350,0.2500,0.0020,0,0,0,1
420,1742,5,0.2500,0.0000,0,0,1,0
421,1894,5,0.2500,0.0000,0,0,1,0
422,375,2714,0.0000,0.0133,0,0,0,1
423,864,1235,0.0000,0.0068,0,0,0,0
424,117,486,1.0000,0.0986,0,0,0,0
425,157,1428,0.0000,0.0048,0,0,0,1
426,872,665,1.0000,0.0000,0,0,0,0
427,1277,2386,0.2000,0.1675,0,0,1,1
428,788,1005,0.6667,0.1496,0,0,1,0
429,143,452,0.0000,0.1395,0,0,0,0
430,1462,1564,0.6667,0.0750,0,0,1,0
431,964,497,0.6667,0.0000,0,0,1,0
432,253,220,0.0000,0.0000,0,0,0,0
433,783,148,0.3333,0.3333,0,0,1,0
434,1425,2541,0.5000,0.0958,0,0,0,1
435,425,859,0.0000,0.1856,0,0,0,0
436,61,59,0.0000,0.2500,0,0,0,0
437,615,572,1.0000,0.0000,0,0,0,0
438,85,2743,0.0000,0.0000,0,0,0,1
439,710,3006,0.3333,0.0197,0,0,0,1
440,73,1646,0.0000,0.0000,0,0,0,0
441,53,148,1.0000,0.0000,0,0,0,0
442,62,462,1.0000,0.0556,0,0,0,0
443,2004,83,0.3333,0.0000,0,0,1,0
444,77,95,1.0000,0.5000,0,0,0,0
445,76,36,1.0000,0.0000,0,0,0,0
446,315,752,0.0000,0.1429,0,0,0,0
447,1269,1276,0.5000,0.0000,0,0,1,0
448,472,1211,0.0000,0.1243,0,0,0,1
449,130,2043,0.0000,0.0000,0,0,0,1
450,281,944,0.6667,0.0185,0,0,0,0
451,926,1110,0.7500,0.0671,1,0,0,0
452,309,19,1.0000,0.0000,0,0,0,0
453,177,2,1.0000,0.0000,0,0,0,0
454,915,1986,0.5000,0.0371,0,0,1,1
455,74,18,1.0000,0.0000,0,0,0,0
456,71,38,1.0000,0.0000,0,0,0,0
457,354,835,0.0000,0.0083,0,0,0,0
458,962,1079,0.2500,0.0082,0,0,1,0
459,269,470,0.0000,0.0690,0,0,0,0
460,549,1864,0.0000,0.0432,0,0,0,1
461,1925,7,0.2500,0.0000,0,0,1,0
462,315,23,1.0000,0.0000,0,0,0,0
463,1606,965,0.6000,0.0000,0,0,1,0
464,46,1692,0.0000,0.0000,0,0,0,1
465,1352,1928,0.6667,0.1429,0,0,1,1
466,2980,294,0.5000,0.7656,0,0,0,0
467,97,27,0.0000,0.0000,0,0,0,0
468,200,1162,0.0000,0.0667,0,0,0,1
469,309,18,1.0000,0.0000,0,0,0,0
470,107,102,0.0000,0.2857,0,0,0,0
471,48,36,1.0000,0.0000,0,0,0,0
472,1745,5,0.2500,0.0000,0,0,1,0
473,1300,5074,0.4000,0.0578,0,0,1,1
474,121,294,0.0000,0.0000,0,0,0,1
475,482,995,0.0000,0.0753,0,0,0,0
476,1600,7,0.2500,0.0000,0,0,1,0
477,332,106,0.0000,0.0000,0,0,0,0
478,436,552,0.0000,0.1538,0,0,0,0
479,370,1038,0.0000,0.0000,1,0,0,0
480,320,27,1.0000,0.0000,0,0,0,0
481,552,798,0.0000,0.1688,0,0,0,0
482,242,350,0.0000,0.0923,0,0,0,0
483,5,7,1.0000,0.0000,0,0,0,0
484,1047,934,0.6667,0.0000,0,0,1,0
485,952,2497,0.4000,0.1449,1,0,1,1
486,1270,2340,0.2000,0.1625,0,0,1,1
487,310,19,1.0000,0.0000,0,0,0,0
488,972,2813,0.5000,0.0903,0,0,1,1
489,289,323,1.0000,0.0000,0,0,0,0
490,1703,3296,0.0000,0.0169,0,0,0,0
491,190,68,1.0000,0.0000,0,0,0,0
492,923,794,1.0000,0.0000,0,0,0,0
493,832,2057,0.4000,0.1313,1,0,1,1
494,1464,2798,0.6000,0.0506,0,0,0,1
495,784,1935,0.2500,0.0073,0,0,0,1
496,267,1105,0.0000,0.0058,1,0,0,1
497,313,21,1.0000,0.0000,0,0,0,0
498,308,1010,0.3333,0.0560,1,0,0,0
499,84,178,0.5000,0.1111,0,0,0,0
500,1422,292,0.0000,0.0000,0,0,1,0
501,1582,1027,0.5000,0.0000,0,0,1,1
502,3630,1322,0.5000,0.0952,0,0,0,0
503,1822,7,0.2500,0.0000,0,0,1,0
504,692,533,1.0000,0.0000,0,0,0,0
505,1050,388,0.3333,0.0000,0,0,1,0
506,911,1401,0.6000,0.1805,1,0,0,1
507,45,19,1.0000,0.0000,0,0,0,0
508,593,870,0.0000,0.0547,0,0,0,0
509,768,407,0.5000,0.2692,0,0,0,0
510,720,350,0.6667,0.0000,0,0,1,0
511,65,2649,0.0000,0.0000,0,0,0,1
512,3347,1740,0.5000,0.4677,0,0,0,0
513,1224,1587,0.3333,0.0993,0,0,1,0
514,192,414,0.0000,0.1548,0,0,0,0
515,77,346,1.0000,0.0500,0,0,0,0
516,1136,3014,0.5000,0.0954,0,0,0,1
517,113,104,0.0000,0.0000,0,0,0,0
518,709,510,1.0000,0.0132,0,0,0,0
519,981,3010,0.6667,0.0095,0,0,1,0
520,12534,502,0.0000,0.0000,0,0,0,0
521,311,19,1.0000,0.0000,0,0,0,0
522,647,213,1.0000,0.0000,0,0,0,0
523,685,2230,0.5000,0.0057,0,0,0,0
524,834,1649,0.5000,0.1993,0,0,1,1
525,981,215,0.4000,0.0000,0,0,1,0
526,201,517,0.0000,0.0543,0,0,0,0
527,113,74,0.0000,0.9091,0,0,0,0
528,310,18,1.0000,0.0000,0,0,0,0
529,313,21,1.0000,0.0000,0,0,0,0
530,100,628,0.0000,0.0000,0,0,0,0
531,545,2873,0.0000,0.0458,0,0,0,1
532,1365,2479,0.2500,0.1281,0,0,1,0
533,2565,1636,1.0000,0.1188,0,0,0,0
534,1536,3007,0.4000,0.1077,0,0,1,1
535,414,752,0.0000,0.0783,0,0,0,1
536,216,855,0.0000,0.0154,0,0,0,0
537,153,2872,0.0000,0.0181,0,0,0,0
538,30,42,0.0000,0.0000,0,0,0,0
539,812,2,0.0000,0.0000,0,0,0,0
540,190,938,0.0000,0.0217,0,0,0,1
541,278,194,0.0000,0.0000,0,0,0,0
542,846,1896,0.0000,0.0201,0,0,0,0
543,575,5524,0.2000,0.0000,0,0,0,1
544,223,1861,0.0000,0.0000,0,0,0,1
545,68,2462,0.0000,0.0024,0,0,0,0
546,976,2402,0.4000,0.0434,0,0,1,1
547,1302,1933,0.6667,0.1012,0,0,1,1
548,92,435,1.0000,0.0000,0,0,0,0
549,520,1622,0.0000,0.0308,0,0,0,1
550,1817,73,0.3333,0.0833,0,0,1,0
551,885,1501,0.3333,0.0976,0,0,1,0
552,146,233,0.0000,0.1136,0,0,0,0
553,918,2637,0.2500,0.0635,0,0,1,0
554,1040,1916,0.4000,0.0817,0,0,1,1
555,1806,1554,0.6000,0.0222,0,0,1,1
556,386,1009,0.0000,0.0727,0,0,0,0
557,308,1110,0.0000,0.0963,0,0,0,0
558,318,26,1.0000,0.0000,0,0,0,0
559,411,72,1.0000,0.0000,0,0,0,0
560,14962,1856,0.5000,0.3863,0,0,0,0
