idx,w_struct_jaccard,l_struct_jaccard,delta_struct_jaccard,w_ngram_overlap,l_ngram_overlap,delta_ngram_overlap,w_sycophancy,l_sycophancy,delta_sycophancy,w_correction,l_correction,delta_correction,w_affirm_prefix,l_affirm_prefix
18,0.5000,0.7500,0.2500,0.0641,0.2146,0.1505,0,0,0,0,0,0,1,0
19,0.0000,1.0000,1.0000,0.0088,0.0435,0.0347,0,0,0,0,0,0,0,0
20,0.0000,0.0000,0.0000,0.0073,0.0452,0.0380,0,0,0,0,0,0,0,0
21,0.0000,0.0000,0.0000,0.0143,0.0407,0.0264,0,0,0,0,0,0,0,0
22,0.3333,0.3333,0.0000,0.9538,0.9318,-0.0220,0,0,0,0,0,0,0,0
23,0.5000,0.6000,0.1000,0.0908,0.2250,0.1342,0,0,0,1,0,1,1,1
24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,1,1
25,0.5000,0.5000,0.0000,0.0452,0.1372,0.0920,0,0,0,0,0,0,0,1
26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
27,0.0000,0.0000,0.0000,0.0000,0.0027,0.0027,0,0,0,0,1,-1,0,0
28,0.5000,0.5000,0.0000,0.0053,0.0868,0.0816,0,0,0,0,0,0,0,1
29,0.4000,0.5000,0.1000,0.1941,0.2022,0.0082,0,0,0,0,0,0,1,0
30,0.0000,0.0000,0.0000,0.0000,0.0964,0.0964,0,0,0,0,0,0,0,0
31,0.0000,0.0000,0.0000,0.0187,0.0204,0.0017,0,0,0,0,0,0,0,1
32,0.0000,0.0000,0.0000,0.0000,0.0116,0.0116,1,0,-1,0,0,0,0,0
33,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,1,0,1,0,0
34,0.0000,0.0000,0.0000,0.0095,0.0370,0.0276,0,0,0,0,0,0,1,1
35,0.0000,0.0000,0.0000,0.1264,0.4000,0.2736,0,0,0,0,0,0,0,0
36,0.6667,0.5000,-0.1667,0.1311,0.3590,0.2279,0,0,0,0,0,0,1,1
37,0.4000,0.4000,0.0000,0.0476,0.1008,0.0532,0,0,0,0,0,0,1,1
38,1.0000,0.0000,-1.0000,0.0909,0.0000,-0.0909,0,0,0,0,0,0,0,0
39,0.0000,0.0000,0.0000,0.0584,0.0891,0.0307,0,0,0,0,0,0,0,0
40,0.0000,1.0000,1.0000,0.0000,0.8750,0.8750,0,0,0,0,0,0,0,0
41,0.0000,0.0000,0.0000,0.5714,0.3611,-0.2103,0,0,0,0,0,0,0,0
42,0.5000,0.6667,0.1667,0.0045,0.0316,0.0271,0,0,0,0,0,0,0,1
43,0.2000,0.4000,0.2000,0.0258,0.0281,0.0023,0,0,0,1,0,1,0,0
44,0.0000,0.0000,0.0000,0.8966,0.7692,-0.1273,0,0,0,0,0,0,0,0
45,1.0000,1.0000,0.0000,0.0248,0.1765,0.1517,0,0,0,0,1,-1,0,0
46,0.0000,0.0000,0.0000,0.0507,0.1025,0.0518,0,0,0,0,0,0,0,0
47,0.0000,0.0000,0.0000,0.0197,0.0264,0.0067,0,0,0,0,0,0,0,0
48,0.0000,0.0000,0.0000,0.0509,0.0526,0.0017,0,0,0,0,0,0,0,0
49,0.4000,0.3333,-0.0667,0.0056,0.0488,0.0432,0,0,0,2,1,1,0,0
50,0.5000,0.0000,-0.5000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
51,0.6000,0.6000,0.0000,0.0914,0.2396,0.1482,0,0,0,0,0,0,1,1
52,0.2500,0.2500,0.0000,0.1633,0.0870,-0.0763,0,0,0,0,0,0,0,0
53,0.0000,0.0000,0.0000,0.3636,0.5926,0.2290,0,0,0,0,0,0,0,0
54,0.3333,0.3333,0.0000,0.0084,0.1398,0.1314,1,0,-1,1,1,0,0,0
55,0.3333,0.3333,0.0000,0.0938,0.0833,-0.0104,0,0,0,0,0,0,0,0
56,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
57,0.0000,0.0000,0.0000,0.0133,0.0005,-0.0128,0,0,0,0,0,0,0,0
58,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
59,0.0000,0.0000,0.0000,0.1037,0.1471,0.0434,0,0,0,0,1,-1,0,0
60,0.0000,0.0000,0.0000,0.1913,0.1729,-0.0184,0,0,0,0,0,0,0,0
61,0.2500,0.2500,0.0000,0.1360,0.1284,-0.0076,0,0,0,0,0,0,0,0
62,0.0000,0.0000,0.0000,0.0041,0.0513,0.0472,0,0,0,1,0,1,0,0
63,0.5000,0.5000,0.0000,0.0838,0.2517,0.1678,0,0,0,0,0,0,0,0
64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
65,0.0000,0.0000,0.0000,0.0340,0.1111,0.0771,0,0,0,0,0,0,1,1
66,0.2000,0.2000,0.0000,0.0531,0.2385,0.1854,0,0,0,0,0,0,1,1
67,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,1,-1,0,0
68,1.0000,0.0000,-1.0000,0.0000,0.0727,0.0727,0,0,0,0,0,0,0,0
69,0.5000,0.5000,0.0000,0.1117,0.1636,0.0519,0,0,0,1,1,0,0,0
70,0.2500,0.2500,0.0000,0.0046,0.0937,0.0891,0,0,0,1,1,0,0,0
71,0.4000,0.2000,-0.2000,0.0378,0.0780,0.0402,0,0,0,1,0,1,0,0
72,0.0000,0.0000,0.0000,0.0568,0.0538,-0.0029,0,0,0,0,0,0,0,0
73,0.0000,0.2500,0.2500,0.0137,0.1117,0.0980,0,0,0,0,0,0,0,0
74,0.0000,1.0000,1.0000,0.0000,0.1000,0.1000,0,0,0,0,0,0,0,0
75,0.0000,0.0000,0.0000,0.0039,0.0035,-0.0004,0,0,0,0,0,0,1,0
76,0.3333,0.2000,-0.1333,0.1687,0.1449,-0.0238,0,0,0,0,0,0,1,1
77,0.3333,0.3333,0.0000,0.0427,0.1136,0.0709,0,0,0,1,0,1,0,0
78,0.0000,0.0000,0.0000,0.0082,0.0167,0.0086,0,0,0,0,0,0,0,0
79,0.0000,0.0000,0.0000,0.0085,0.0178,0.0094,0,0,0,0,0,0,0,0
80,0.0000,0.0000,0.0000,0.1121,0.0631,-0.0491,0,0,0,0,0,0,0,0
81,0.2000,0.6667,0.4667,0.0539,0.0455,-0.0083,0,0,0,0,0,0,0,0
82,0.0000,0.0000,0.0000,0.0426,0.1067,0.0641,0,0,0,0,0,0,0,0
83,0.0000,0.0000,0.0000,0.0206,0.0329,0.0123,0,0,0,0,0,0,0,0
84,0.5000,1.0000,0.5000,0.0000,0.0020,0.0020,0,0,0,0,0,0,0,0
85,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,1,0
86,0.4000,0.4000,0.0000,0.0746,0.1429,0.0683,0,0,0,0,0,0,1,1
87,0.0000,0.0000,0.0000,0.0155,0.0541,0.0386,0,0,0,0,0,0,0,0
88,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,-1,1,0,1,0,0
89,0.0000,0.0000,0.0000,0.0848,0.0609,-0.0239,0,0,0,0,0,0,0,1
90,0.0000,0.0000,0.0000,0.0000,0.0059,0.0059,0,0,0,0,0,0,0,0
91,0.6000,0.6000,0.0000,0.0179,0.0319,0.0141,0,0,0,0,0,0,1,1
92,0.4000,0.3333,-0.0667,0.0346,0.1091,0.0745,0,0,0,1,0,1,0,0
93,0.0000,0.0000,0.0000,0.0139,0.0265,0.0126,0,0,0,0,0,0,0,0
94,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
95,0.5000,0.5000,0.0000,0.0065,0.0059,-0.0006,0,0,0,0,0,0,0,0
96,0.5000,0.6000,0.1000,0.2326,0.1951,-0.0374,0,0,0,0,0,0,1,0
97,0.0000,0.0000,0.0000,0.0000,0.0063,0.0063,0,0,0,0,0,0,0,0
98,0.0000,0.0000,0.0000,0.0095,0.0688,0.0593,0,0,0,2,0,2,0,0
99,0.0000,0.0000,0.0000,0.0022,0.0089,0.0067,0,0,0,0,0,0,1,1
100,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
101,0.0000,0.0000,0.0000,0.0046,0.0000,-0.0046,0,0,0,0,0,0,1,1
102,0.0000,0.0000,0.0000,0.0165,0.0175,0.0010,0,0,0,0,0,0,0,1
103,0.5000,0.4000,-0.1000,0.0076,0.0604,0.0528,0,0,0,1,2,-1,0,0
104,1.0000,0.0000,-1.0000,0.0000,0.0124,0.0124,0,0,0,0,0,0,0,0
105,0.0000,0.0000,0.0000,0.0748,0.0710,-0.0038,0,0,0,0,0,0,1,1
106,0.3333,0.0000,-0.3333,0.0242,0.0000,-0.0242,0,0,0,0,0,0,0,0
107,0.3333,0.4000,0.0667,0.0369,0.0780,0.0412,0,0,0,1,0,1,0,0
108,1.0000,0.5000,-0.5000,0.0166,0.0097,-0.0069,0,0,0,0,0,0,0,0
109,0.3333,0.2500,-0.0833,0.0282,0.1176,0.0894,0,0,0,0,0,0,0,0
110,0.5000,0.2000,-0.3000,0.0944,0.1272,0.0328,0,0,0,0,0,0,0,0
111,0.5000,0.2500,-0.2500,0.0121,0.0073,-0.0049,1,1,0,0,3,-3,0,0
112,0.0000,0.0000,0.0000,0.0304,0.0746,0.0442,0,0,0,0,0,0,0,0
113,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
114,0.3333,0.5000,0.1667,0.0301,0.0180,-0.0122,0,0,0,0,0,0,0,1
115,0.0000,0.0000,0.0000,0.0860,0.0984,0.0123,0,0,0,0,0,0,0,0
116,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
117,0.0000,0.0000,0.0000,0.0093,0.0284,0.0191,0,0,0,0,0,0,1,1
118,0.6667,0.5000,-0.1667,0.0943,0.1561,0.0618,0,0,0,0,0,0,0,0
119,0.4000,0.2500,-0.1500,0.0265,0.0879,0.0614,0,0,0,2,1,1,0,0
120,0.0000,0.0000,0.0000,0.0526,0.0938,0.0411,0,0,0,0,0,0,0,0
121,0.5000,0.3333,-0.1667,0.0000,0.0159,0.0159,0,0,0,0,0,0,1,1
122,0.0000,0.0000,0.0000,0.1080,0.1618,0.0538,0,0,0,0,0,0,0,0
123,0.0000,0.0000,0.0000,0.1008,0.1023,0.0015,0,0,0,0,0,0,0,0
124,0.2000,0.2500,0.0500,0.1285,0.1384,0.0099,1,0,-1,3,1,2,0,0
125,0.0000,0.0000,0.0000,0.0000,0.6875,0.6875,0,0,0,0,0,0,0,0
126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
127,0.0000,1.0000,1.0000,0.0136,0.1148,0.1011,0,0,0,0,0,0,0,0
129,0.0000,0.0000,0.0000,0.0000,0.0467,0.0467,0,0,0,0,0,0,0,0
130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
131,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,2,-2,0,0
132,0.0000,0.0000,0.0000,0.0677,0.1567,0.0890,0,0,0,0,0,0,1,1
133,1.0000,0.0000,-1.0000,0.0685,0.8261,0.7576,0,0,0,0,0,0,0,0
134,0.0000,0.0000,0.0000,0.0411,0.1522,0.1111,0,0,0,0,0,0,0,0
135,0.3333,0.3333,0.0000,0.0435,0.0000,-0.0435,0,0,0,0,0,0,0,0
136,0.2000,0.4000,0.2000,0.0554,0.3924,0.3370,0,0,0,0,0,0,0,0
137,0.5000,0.5000,0.0000,0.1132,0.3659,0.2526,0,0,0,0,0,0,0,0
138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
139,0.8000,0.8000,0.0000,0.0776,0.1419,0.0643,0,0,0,0,0,0,0,0
140,0.2000,0.4000,0.2000,0.0534,0.1097,0.0563,0,0,0,0,0,0,0,0
141,0.5000,0.0000,-0.5000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
142,0.2500,0.2500,0.0000,0.0428,0.0800,0.0372,0,0,0,0,0,0,1,1
143,0.2500,0.2500,0.0000,0.0124,0.0808,0.0684,0,0,0,0,0,0,1,0
144,0.2500,0.2500,0.0000,0.2771,0.0909,-0.1862,0,0,0,0,0,0,0,0
145,0.5000,1.0000,0.5000,0.0047,1.0000,0.9953,0,0,0,0,0,0,0,0
146,0.6667,0.6667,0.0000,0.1214,0.3673,0.2459,0,0,0,0,0,0,0,0
147,0.0000,0.0000,0.0000,0.0306,0.0457,0.0150,0,0,0,0,2,-2,0,1
148,0.0000,0.0000,0.0000,0.0685,0.2128,0.1443,0,0,0,0,0,0,0,0
149,0.6667,0.6667,0.0000,0.0609,0.0820,0.0211,0,0,0,0,0,0,0,0
150,0.0000,1.0000,1.0000,0.2200,0.6818,0.4618,0,0,0,0,0,0,1,0
151,0.0000,0.0000,0.0000,0.0115,0.0076,-0.0039,0,0,0,0,0,0,0,0
152,0.4000,0.5000,0.1000,0.0174,0.1217,0.1043,0,0,0,0,0,0,0,0
153,1.0000,0.0000,-1.0000,0.0000,0.0254,0.0254,0,0,0,0,1,-1,0,0
154,0.0000,0.0000,0.0000,0.0410,0.0229,-0.0181,0,0,0,1,1,0,0,0
155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
156,0.0000,0.0000,0.0000,0.0043,0.0130,0.0087,0,0,0,0,0,0,1,1
157,0.0000,0.5000,0.5000,0.9515,0.0000,-0.9515,0,0,0,0,1,-1,0,0
158,1.0000,0.0000,-1.0000,0.0135,0.0149,0.0014,0,0,0,0,0,0,0,0
159,0.0000,1.0000,1.0000,0.0350,0.0678,0.0328,0,0,0,0,0,0,0,0
160,0.0000,0.0000,0.0000,0.0526,0.0648,0.0122,0,0,0,0,0,0,1,0
161,0.4000,0.5000,0.1000,0.1698,0.3792,0.2094,0,0,0,0,0,0,0,0
162,0.0000,0.0000,0.0000,0.0088,0.0000,-0.0088,0,0,0,0,1,-1,0,0
163,0.2500,0.5000,0.2500,0.0909,0.1250,0.0341,0,0,0,0,0,0,0,0
164,0.0000,0.3333,0.3333,0.0345,0.1818,0.1473,0,0,0,0,0,0,0,0
165,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0
166,0.0000,0.0000,0.0000,0.0381,0.0677,0.0296,0,0,0,0,0,0,0,0
167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,1,1
168,0.6667,0.3333,-0.3333,0.1277,0.9167,0.7890,0,0,0,0,0,0,0,0
169,0.6000,0.6000,0.0000,0.0664,0.0473,-0.0191,0,0,0,1,0,1,0,0
170,0.0000,0.0000,0.0000,0.0106,0.0444,0.0338,0,0,0,0,0,0,0,0
171,0.0000,0.0000,0.0000,0.0000,0.0095,0.0095,0,0,0,0,0,0,0,0
172,0.4000,0.2500,-0.1500,0.2731,0.1654,-0.1076,0,0,0,0,0,0,0,0
173,0.8000,0.6000,-0.2000,0.0943,0.1429,0.0485,0,0,0,0,0,0,1,0
174,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0
175,0.3333,0.6667,0.3333,0.0930,0.1951,0.1021,0,0,0,0,0,0,0,0
176,0.0000,0.0000,0.0000,0.0182,0.6571,0.6390,0,0,0,0,0,0,0,0
177,0.0000,0.0000,0.0000,0.0702,0.0449,-0.0253,0,0,0,0,0,0,0,0
178,0.2000,0.4000,0.2000,0.0027,0.0186,0.0159,0,0,0,1,0,1,0,0
179,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
180,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,1,1
182,1.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
183,0.0000,0.0000,0.0000,0.2593,0.3818,0.1226,0,0,0,0,0,0,0,0
184,0.0000,0.0000,0.0000,0.0053,0.0117,0.0064,0,0,0,0,1,-1,0,0
185,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
186,0.5000,0.2000,-0.3000,0.0512,0.0966,0.0454,0,0,0,2,0,2,0,0
187,0.0000,0.0000,0.0000,0.0000,0.0043,0.0043,0,0,0,0,1,-1,0,1
188,1.0000,0.6667,-0.3333,0.0718,0.0000,-0.0718,0,0,0,0,0,0,0,1
189,0.3333,0.6667,0.3333,0.0018,0.0000,-0.0018,0,0,0,0,0,0,0,0
190,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
191,0.6667,0.6667,0.0000,0.0574,0.3768,0.3195,0,0,0,0,0,0,0,0
192,0.0000,0.0000,0.0000,0.0164,0.0256,0.0092,0,0,0,0,0,0,0,1
193,0.8000,0.6000,-0.2000,0.0561,0.0960,0.0399,0,0,0,0,0,0,0,1
194,0.0000,0.0000,0.0000,0.2874,0.1774,-0.1099,0,0,0,0,0,0,0,0
195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,1
196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,2,0,2,0,0
197,0.0000,0.3333,0.3333,0.0559,0.1087,0.0528,0,0,0,0,0,0,0,1
198,0.0000,0.0000,0.0000,0.0660,0.0702,0.0041,0,0,0,0,0,0,1,0
199,0.5000,0.2000,-0.3000,0.0901,0.0337,-0.0564,0,0,0,0,0,0,0,0
200,0.0000,0.0000,0.0000,0.0144,0.0069,-0.0075,0,0,0,1,0,1,0,0
201,0.0000,0.0000,0.0000,0.0043,0.0047,0.0004,0,0,0,0,0,0,0,0
202,0.5000,0.3333,-0.1667,0.0873,0.0569,-0.0304,0,0,0,0,0,0,0,0
203,0.0000,0.0000,0.0000,0.0643,0.0966,0.0323,0,0,0,0,0,0,0,0
204,0.3333,1.0000,0.6667,0.0168,0.0571,0.0404,0,0,0,0,0,0,0,0
205,0.0000,0.0000,0.0000,0.0671,0.1702,0.1031,0,0,0,1,0,1,0,0
206,0.5000,0.7500,0.2500,0.0667,0.0690,0.0023,0,0,0,0,0,0,0,0
207,0.2500,0.2500,0.0000,0.0166,0.0261,0.0095,0,0,0,0,0,0,0,0
208,0.8000,0.8000,0.0000,0.0720,0.1195,0.0474,0,0,0,0,0,0,0,0
209,0.4000,0.5000,0.1000,0.0052,0.0431,0.0379,1,0,-1,3,0,3,0,0
210,0.2000,0.4000,0.2000,0.0449,0.1253,0.0804,0,0,0,0,0,0,0,0
211,0.5000,0.3333,-0.1667,0.0116,0.0237,0.0121,0,0,0,0,0,0,0,1
212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,1,0,1,0,0
213,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
214,1.0000,0.0000,-1.0000,0.0000,0.0316,0.0316,0,0,0,0,1,-1,0,0
215,0.0000,0.0000,0.0000,0.1262,0.5000,0.3738,0,0,0,0,0,0,0,0
216,0.0000,0.0000,0.0000,0.0374,0.1080,0.0706,0,0,0,1,0,1,0,0
217,0.4000,0.4000,0.0000,0.0739,0.0776,0.0037,0,0,0,1,1,0,0,0
218,0.6667,0.6667,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
219,0.0000,1.0000,1.0000,0.0000,0.7000,0.7000,0,0,0,0,0,0,1,0
220,0.5000,1.0000,0.5000,0.0000,0.0035,0.0035,0,0,0,0,0,0,0,0
221,0.6667,0.5000,-0.1667,0.2083,0.5082,0.2999,0,0,0,0,0,0,0,0
222,0.1667,0.1667,0.0000,0.0279,0.0430,0.0151,0,0,0,0,0,0,0,0
223,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0,0,0,0,1,-1,1,0
224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
225,0.0000,0.0000,0.0000,0.0769,0.0000,-0.0769,0,0,0,0,0,0,0,0
226,0.7500,0.4000,-0.3500,0.0060,0.1038,0.0978,0,0,0,0,1,-1,0,0
227,0.3333,0.3333,0.0000,0.0476,0.6000,0.5524,0,0,0,0,0,0,0,0
228,0.0000,0.0000,0.0000,0.1359,0.2517,0.1159,0,0,0,0,0,0,0,0
229,0.2000,0.4000,0.2000,0.1446,0.0953,-0.0493,0,0,0,0,2,-2,0,0
230,1.0000,0.5000,-0.5000,0.0300,0.1811,0.1511,0,0,0,0,0,0,0,0
231,1.0000,0.5000,-0.5000,0.0403,0.0000,-0.0403,0,0,0,1,0,1,0,0
232,0.0000,0.4000,0.4000,0.0000,0.2016,0.2016,0,0,0,0,0,0,0,0
233,0.3333,0.0000,-0.3333,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
234,0.4000,0.6667,0.2667,0.1508,0.0809,-0.0699,0,0,0,9,0,9,0,0
235,0.0000,0.0000,0.0000,0.0682,0.0806,0.0125,0,0,0,0,0,0,0,0
236,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0,0,0,0,0,0,0,0
237,0.0000,0.0000,0.0000,0.0048,0.0151,0.0102,0,0,0,0,0,0,0,0
238,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
239,0.0000,0.0000,0.0000,0.0000,0.0073,0.0073,0,0,0,0,0,0,0,0
240,0.5000,0.5000,0.0000,0.0310,0.0714,0.0405,0,0,0,0,0,0,0,0
241,0.2000,0.3333,0.1333,0.0282,0.1052,0.0769,0,0,0,0,0,0,0,0
242,0.0000,0.0000,0.0000,0.0366,0.8125,0.7759,0,0,0,0,0,0,0,0
243,0.0000,0.0000,0.0000,0.0177,0.1064,0.0887,0,0,0,0,0,0,0,0
244,1.0000,0.0000,-1.0000,0.0000,0.0196,0.0196,0,0,0,0,0,0,0,0
245,0.5000,0.6667,0.1667,0.5926,0.4828,-0.1098,0,0,0,0,0,0,0,0
246,0.2500,0.5000,0.2500,0.0406,0.0302,-0.0104,0,0,0,5,0,5,0,0
247,0.6667,0.6667,0.0000,0.0000,0.0250,0.0250,0,0,0,0,0,0,0,0
248,0.0000,0.0000,0.0000,0.0359,0.1255,0.0896,0,0,0,0,0,0,1,0
249,0.0000,0.0000,0.0000,0.1356,0.2206,0.0850,0,0,0,0,0,0,0,0
250,0.0000,0.0000,0.0000,0.0040,0.0000,-0.0040,0,0,0,0,0,0,0,0
251,0.5000,0.0000,-0.5000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
252,0.0000,1.0000,1.0000,0.0041,0.0000,-0.0041,0,0,0,0,0,0,0,1
253,0.0000,0.0000,0.0000,0.0042,0.0000,-0.0042,0,0,0,0,0,0,0,0
254,0.0000,0.0000,0.0000,0.0103,0.0221,0.0119,0,0,0,0,0,0,0,0
255,0.4000,0.4000,0.0000,0.0236,0.0874,0.0638,0,0,0,0,0,0,1,1
256,1.0000,1.0000,0.0000,0.0036,0.0028,-0.0008,0,0,0,0,1,-1,0,0
257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
258,0.0000,0.0000,0.0000,0.0129,0.6797,0.6668,0,0,0,0,0,0,0,1
259,0.5000,0.4000,-0.1000,0.1232,0.1938,0.0706,0,0,0,0,2,-2,0,0
260,0.5000,0.5000,0.0000,0.5347,0.6094,0.0747,0,0,0,0,0,0,0,0
261,0.3333,0.3333,0.0000,0.2264,0.7708,0.5444,0,0,0,1,0,1,1,0
262,0.3333,0.0000,-0.3333,0.0870,0.1818,0.0949,0,0,0,0,0,0,0,0
263,1.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0
264,0.3333,0.5000,0.1667,0.0010,0.0419,0.0409,0,0,0,3,1,2,0,0
265,0.0000,0.5000,0.5000,0.0870,0.7500,0.6630,0,0,0,0,0,0,1,0
266,0.3333,0.3333,0.0000,0.0656,0.1053,0.0397,0,0,0,1,1,0,0,0
267,0.0000,0.0000,0.0000,0.0357,0.0622,0.0265,0,0,0,0,0,0,0,1
268,0.4000,0.2500,-0.1500,0.1378,0.1828,0.0450,0,0,0,0,0,0,1,1
269,0.6667,0.4000,-0.2667,0.0109,0.0759,0.0650,0,0,0,0,0,0,0,0
270,0.2500,0.3333,0.0833,0.0427,0.0384,-0.0043,2,0,-2,1,1,0,0,0
271,0.4000,0.2500,-0.1500,0.0173,0.1190,0.1018,0,0,0,0,0,0,0,0
272,0.4000,0.2500,-0.1500,0.0214,0.1195,0.0981,0,0,0,3,0,3,0,0
273,1.0000,0.5000,-0.5000,0.0000,0.0103,0.0103,0,0,0,0,0,0,0,0
274,0.0000,0.0000,0.0000,0.2353,0.0000,-0.2353,0,0,0,0,1,-1,0,0
275,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0,0,0,0,0,0,0,0
276,0.0000,0.0000,0.0000,0.0927,0.2420,0.1494,0,0,0,0,0,0,0,0
277,0.4000,0.4000,0.0000,0.1970,0.2231,0.0262,0,0,0,0,0,0,1,1
278,0.0000,0.0000,0.0000,0.0028,0.0039,0.0010,0,0,0,1,0,1,1,1
279,0.0000,0.0000,0.0000,0.0065,0.0024,-0.0040,0,0,0,0,0,0,0,1
280,0.6667,0.0000,-0.6667,0.0214,0.0000,-0.0214,0,0,0,0,0,0,0,0
281,0.0000,0.0000,0.0000,0.0175,0.0000,-0.0175,0,0,0,0,0,0,0,0
282,0.0000,0.0000,0.0000,0.2460,0.1860,-0.0600,0,0,0,0,0,0,0,0
283,0.3333,1.0000,0.6667,0.0556,0.2759,0.2203,0,0,0,0,0,0,0,0
